old_id,name,description,source,url
1,"Shen YW, Lu C, Zhao ZQ.","Tryptase and fatal anaphylactic reaction. Fa Yi Xue Za Zhi  2002; 18(3): 132-136. ","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=12608287&query_hl=36&itool=pubmed_docsum"
2,"Rudzki E, Zakrzewski Z, Rebandel P, Grzywa Z, Hudymowicz W.","Sensitivity to amikacin. Contact Dermatitis 1989; 20(5): 391. ","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=2766709&query_hl=39&itool=pubmed_docsum"
3,"Izumi T, Takeuchi M, Nagai S, Iwaki K. ","Immunosuppressive effects of antimicrobial drugs on the murine spleen PFC response to SRBC. Int J Immunopharmac 1980; 2: 235.","",""
4,"Villa ML, Rappociolo G, Piazza P, Clerici E. ","The interference of antibiotics with antigen-specific antibody responses in man. Int J Immunopharmac 1986; 8: 805-809.","",""
5,"Goodhardt GL.","Effect of aminoglycosides on the chemotactic response of human polymorphonuclear leukocytes. Antimicrob Agents Chemother 1977; 12(4): 540-542.","Free pdf","http://www.pubmedcentral.nih.gov/picrender.fcgi?artid=429962&blobtype=pdf"
6,"Seckleki MM, Quintiliani R, Maderazo EG. ","Aminoglycoside antibiotics moderately impair granulocyte function. Antimicrob Agents Chemother 1978; 13(3): 552-554.","Free pdf","http://www.pubmedcentral.nih.gov/picrender.fcgi?artid=352282&blobtype=pdf"
7,"Khan AJ, Evans HE, Glass L. ","Abnormal neutrophil chemotaxis and random migration induced by aminoglycoside antibiotics. J Lab Clin Med 1979; 93(2): 295-300.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=429840&query_hl=54&itool=pubmed_docsum"
12,"Belsheim JA, Gnarpe GH. ","Antibiotics and granulocytes. Direct and indirect effects on granulocyte chemotaxis. Acta Path Microbiol Scand 1981; 89(4): 217-221.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=7319991&query_hl=58&itool=pubmed_docsum"
13,"Venezio FR, DiVencenzo CA. ","Effects of aminoglycoside antibiotics on polymorphonuclear leukocyte function in vivo. Antimicrob Agents Chemother 1985; 27(6): 712-714.","Free pdf","http://www.pubmedcentral.nih.gov/picrender.fcgi?artid=180138&blobtype=pdf"
14,"Limbert M, Seibert G, Shrinner E. ","The influence of antibiotics on the phagocytosis-associated chemiluminescence of guinea-pig polymorphonuclear neutrophils. In: The Influence of Antibiotics on the Host-Parasite Relationship (Eickenberg H-UU, Hahn H, Opferkuch W, eds), p.74-79. Springer Verlag, Berlin, 1982.","",""
15,"Welch WD, Davis D, Thrupp LD. ","Effect of antimicrobial agents on human polymorphonuclear leukocyte microbial function. Antimicrob Agents Chemother 1981; 20(1): 15-20.","Free pdf","http://www.pubmedcentral.nih.gov/picrender.fcgi?artid=181624&blobtype=pdf"
16,"Duncker D, Ullmann U","Influence of various antimicrobial agents on the chemiluminescence of phagocytosing human granulocytes. Chemotherapy 1986; 32(1): 18-24.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=3948581&query_hl=64&itool=pubmed_docsum"
110,"Morton CA, Evans CD, Douglas WS. ","Allergic contact dermatitis following subconjunctival injection of framycetin. Contact Dermatitis 1993; 29(1): 42-43.","",""
19,"Ziv G, Paape MJ, Dulin AM. ","Influence of antibiotics and intramammary antibiotic products on phagocytosis of Staphylococcus aureus by bovine leukocytes. Am J Vet Res 1983; 44(3): 385-388.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=6838035&query_hl=66&itool=pubmed_docsum"
28,"Gressier B, Brunet C, Dine T, Luyckx M, Ballester L, Cazin M, Cazin JC. ","In vitro activity of aminoglycosides on the respiratory burst response in human polymorphonuclear neutrophils. Methods Find Exp Clin Pharmacol 1998; 20(10) 819-824.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=10091217&query_hl=67&itool=pubmed_docsum"
