old_id,name,description,parent_id, maj
"c1","Antibiotics","",nil,nil
"c6","Organic Solvents","Organic solvents are carbon-based. Common uses include degreasing/ cleaning agents, paints, varnishes, lacquers, adhesives, glues, and chemical synthesis in the production of polymers, plastics, textiles, printing inks, agricultural products, and pharmaceuticals. It is estimated that millions of workers are exposed to organic solvents at the workplace, but nearly every human being can be exposed as well because of their widespread use. Because so many organic solvents have been or are still in use, it is difficult to propose a classification taking into account their chemical diversity, as well as their use or toxic potential. The classification below will be used in this chapter of Immunotoxibase as it is thought to provide a straightforward access to most organic solvents. Organic solvents can be first divided into non substituted hydrocarbons which include saturated aliphatic hydrocarbons (e.g. pentane, hexane, octane or dodecane), saturated aromatic hydrocarbons (e.g. cyclopentane, cyclohexane, methylcyclopentane or methylcyclohexane), non saturated aromatic hydrocarbons (e.g. cyclohexene) and monocyclic aromatic hydrocarbons (e.g. benzene, toluene, xylene, ethylbenzene or styrene). A second group of organic solvents consists of halogenated hydrocarbons which include aliphatic chlorinated hydrocarbons that are either saturated (e.g. methyl chloride, methylene chloride, chloroform or carbon tetrachloride) or non saturated (e.g. acetylene dichloride, trichloroethylene or perchlorethylene). Other halogenated hydrocarbons include aromatic chlorinated hydrocarbons (phenyl chloride, dichlorobenzene or benzyl chloride), and chlorofluorocarbons (formerly grouped under the general heading freons). A third group of organic solvents consists of oxygenated hydrocarbons including acetates (e.g. methyl-, ethyl-, or isopropyl-acetate), alcohols (either mono-alcohols such as methanol, ethanol or isopropanol, or glycols such as ethylene glycol or propylene glycol), ketones (e.g. acetone, methylethylketone or cyclohexanone) and ethers (either aliphatic ethers such as dimethyl ether or methyl-t-butyl ether, or glycol ethers such as 2-methoxy-ethanol or butyl-glycol, or cyclic ethers such as tetrahydrofuran, and 1,4-dioxan). Finally, a fourth group includes miscellaneous organic solvents, such as dimethylformamide, dimethylsulfoxide, pyridine or carbon disulfide.",nil,nil
"c9","Anticancer Drugs","",nil,nil
"c7","Metals and Derivatives","",nil,nil
"c8","Gastrointestinal Drugs","",nil,nil
"c10","Antiparasitic Drugs","",nil,nil
"c11","Antiviral Drugs","Available data not yet compiled and analyzed.",nil,nil
"c12","Cardiovascular Drugs","",nil,nil
"c13","Central Nervous System Drugs","",nil,nil
"c14","Hematological Drugs","Available data not yet compiled and analyzed.",nil,nil
"c15","Immunotherapeutics","Available data not yet compiled and analyzed.",nil,nil
"c16","Medical Devices","Available data not yet compiled and analyzed.",nil,nil
"c17","NSAIDs and Antirheumatismal Drugs","",nil,nil
"c18","Respiratory and Antiallergy Drugs","Available data not yet compiled and analyzed.",nil,nil
"c19","Vitamins","",nil,nil
"c20","Hormones and Antihormones","There is a wealth of experimental and clinical data demonstrasting close interactions between the neuroendocrine and the immune system. Indeed, most if not all hormones have been shown to influence immune responses.",nil,nil
"c21","Pesticides","",nil,nil
"c22","Airborne Pollutants","Available data not yet compiled and analyzed.",nil,nil
"c23","Substances of Abuse","Available data not yet compiled and analyzed.",nil,nil
"c24","Food Products and Contaminants","",nil,nil
"c25","Cosmetics","",nil,nil
"c26","Physical agents","Available data not yet compiled and analyzed.",nil,nil
"f1","Aminosides","All aminosides (or aminoglycosides) share a common basic chemical structure, which can account for a certain degree of cross-reactivity, especially in the area of contact sensitization. Although markedly toxic for the kidney and the inner ear, aminosides remain useful in the treatment of infections caused by aerobic gram-negative bacteria. Immunodepression has been a matter of transient concern and a few derivatives were shown to impair specific and/or nonspecific immune mechanisms. No conclusive clinical consequences, however, have ever been demonstrated. Hypersensitivity reactions are rare, except contact dermatitis associated with some older derivatives, such as neomycin. Autoimmune reactions have seemingly never been suspected to occur.",1,2008-03-04 10:42:05
"f5","Aliphatic chlorinated hydrocarbons","\r\nAliphatic chlorinated hydrocarbons are very efficient organic solvents. Even though their uses have been markedly declining during the past decades either due to excessive toxicity or a negative impact on the ozone layer of the atmosphere, a number of derivatives are still in use today. They are divided into saturated and non saturated derivatives. Saturated derivatives include (methyl chloride, methylene chloride, chloroform, carbon tetrachloride, ethylene dichloride, methylchloroform, vinyl trichloride, 1,2-dichloropropane, 1,1,2,2-tetrachloethane and perchlorethane). Non saturated derivatives include acetylene dichloride, trichloroethylene, perchloroethylene, dichloroacetylene, 1,3-dichloropropene and allyl chloride. Overall, there is limited information on their potential immunotoxicity.",6,2006-11-24 16:11:16
"f6","Thallium","The impact on the immune system of thallium, a highly toxic non-essential heavy metal, has seemingly not been studied either in animals or human beings. One case of acute generalized exanthematous pustulosis has been reported following thallium-201 scintigraphy [170].",7,2006-12-24 17:32:31
